Max, 99625, Obj, 375, Reliability, 100%, HowOften, 3, When, 45, bestRun, 1
Generation, Min, Avg, Max, Obj
0, 68169.66, 96175.77, 99521.34, 478.6667
1, 99399, 99441.84, 99568, 432
2, 99425, 99460.32, 99579.34, 420.6667
3, 99441, 99473.37, 99579.34, 420.6667
4, 99453, 99482.72, 99579.34, 420.6667
5, 99462.34, 99490.82, 99591, 409
6, 99469.66, 99496.69, 99591, 409
7, 99476.66, 99502.65, 99591, 409
8, 99482.34, 99508.69, 99591, 409
9, 99488, 99513.25, 99591, 409
10, 99493, 99517.91, 99591, 409
11, 99498, 99521.84, 99592, 408
12, 99503, 99526.13, 99606.66, 393.3333
13, 99506.66, 99529.97, 99606.66, 393.3333
14, 99511, 99532.43, 99606.66, 393.3333
15, 99514.34, 99535.41, 99606.66, 393.3333
16, 99517.34, 99538.54, 99606.66, 393.3333
17, 99520, 99541.23, 99608, 392
18, 99523.34, 99544, 99608, 392
19, 99526, 99546.37, 99608, 392
20, 99529, 99549.2, 99608, 392
21, 99531.34, 99551.77, 99608, 392
22, 99534, 99553.82, 99608, 392
23, 99536.66, 99556.15, 99608, 392
24, 99538.66, 99558.46, 99608, 392
25, 99541, 99560.66, 99619.66, 380.3333
26, 99543.66, 99562.87, 99620.66, 379.3333
27, 99547, 99565.29, 99621.34, 378.6667
28, 99548.66, 99567.4, 99621.34, 378.6667
29, 99551.66, 99569.01, 99621.34, 378.6667
30, 99553.66, 99570.98, 99621.34, 378.6667
31, 99555.66, 99572.85, 99621.34, 378.6667
32, 99558, 99574.75, 99621.34, 378.6667
33, 99560.34, 99576.73, 99621.34, 378.6667
34, 99562.34, 99578.59, 99621.34, 378.6667
35, 99564.34, 99579.73, 99621.34, 378.6667
36, 99566, 99580.98, 99621.34, 378.6667
37, 99568, 99582.34, 99621.34, 378.6667
38, 99570, 99584.31, 99621.34, 378.6667
39, 99572.66, 99585.66, 99621.34, 378.6667
40, 99574.34, 99586.91, 99621.34, 378.6667
41, 99576, 99588.02, 99623.34, 376.6667
42, 99577, 99589.37, 99623.34, 376.6667
43, 99578, 99590.66, 99623.34, 376.6667
44, 99579.66, 99592, 99623.66, 376.3333
45, 99581.66, 99593.15, 99623.66, 376.3333
46, 99583, 99594.53, 99623.66, 376.3333
47, 99584.34, 99595.41, 99623.66, 376.3333
48, 99586.34, 99596.84, 99623.66, 376.3333
49, 99587.66, 99597.91, 99623.66, 376.3333
50, 99589.34, 99598.8, 99623.66, 376.3333
51, 99590.66, 99600.09, 99623.66, 376.3333
52, 99591.66, 99600.98, 99623.66, 376.3333
53, 99593, 99601.85, 99623.66, 376.3333
54, 99594.34, 99602.82, 99623.66, 376.3333
55, 99594.66, 99603.87, 99623.66, 376.3333
56, 99596, 99605.01, 99623.66, 376.3333
57, 99597.66, 99605.88, 99623.66, 376.3333
58, 99598.66, 99606.63, 99623.66, 376.3333
59, 99600, 99607.59, 99623.66, 376.3333
60, 99601, 99608.25, 99624.66, 375.3333
61, 99602, 99608.91, 99624.66, 375.3333
62, 99602.34, 99609.71, 99624.66, 375.3333
63, 99604, 99610.54, 99624.66, 375.3333
64, 99604.34, 99611.16, 99624.66, 375.3333
65, 99605, 99611.94, 99624.66, 375.3333
66, 99606, 99612.76, 99625, 375
67, 99606.66, 99613.63, 99625, 375
68, 99608.66, 99614.25, 99625, 375
69, 99610.66, 99614.76, 99625, 375
70, 99610.66, 99615.29, 99625, 375
71, 99611, 99615.91, 99625, 375
72, 99611.66, 99616.34, 99625, 375
73, 99612.66, 99616.75, 99625, 375
74, 99614.34, 99617.16, 99625, 375
75, 99614.66, 99617.41, 99625, 375
76, 99615.34, 99617.66, 99625, 375
77, 99615.66, 99617.88, 99625, 375
78, 99616, 99618.04, 99625, 375
79, 99616.34, 99618.21, 99625, 375
80, 99617.66, 99618.4, 99625, 375
81, 99618, 99618.43, 99625, 375
82, 99618, 99618.44, 99625, 375
83, 99618, 99618.46, 99625, 375
84, 99618, 99618.48, 99625, 375
85, 99618, 99618.51, 99625, 375
86, 99618, 99618.51, 99625, 375
87, 99618, 99618.51, 99625, 375
