Max, 9466, Obj, 534, Reliability, 86.66666%, HowOften, 26, When, 139.1538
Generation, Min, Avg, Max, Obj
0, -33001.7, 6110.482, 9368.333, 631.6667
1, 9204.833, 9241.408, 9386.9, 613.1
2, 9221.566, 9258.147, 9394.233, 605.7667
3, 9236.066, 9272.504, 9397.667, 602.3333
4, 9252.6, 9283.957, 9405.233, 594.7667
5, 9265.134, 9292.862, 9411.5, 588.5
6, 9273.634, 9299.624, 9415.366, 584.6334
7, 9279.634, 9305.822, 9419.2, 580.8
8, 9284.667, 9311.3, 9422.167, 577.8333
9, 9289, 9316.474, 9424.8, 575.2
10, 9293.366, 9321.755, 9426.033, 573.9667
11, 9297.033, 9326.656, 9427.7, 572.3
12, 9300.434, 9331.481, 9430.3, 569.7
13, 9304.233, 9336.624, 9432.134, 567.8666
14, 9307.934, 9341.599, 9433, 567
15, 9311.467, 9346.397, 9435.967, 564.0333
16, 9315.7, 9351.313, 9437.434, 562.5667
17, 9320.634, 9356.594, 9437.467, 562.5333
18, 9325.3, 9361.503, 9437.634, 562.3666
19, 9330.8, 9366.128, 9437.767, 562.2333
20, 9336.1, 9370.332, 9437.866, 562.1334
21, 9342.333, 9374.546, 9438.3, 561.7
22, 9348.8, 9378.736, 9439.634, 560.3666
23, 9354.066, 9382.396, 9439.866, 560.1334
24, 9359.167, 9385.534, 9440.566, 559.4333
25, 9363.634, 9388.631, 9441.134, 558.8666
26, 9368.233, 9391.399, 9441.333, 558.6667
27, 9371.866, 9393.813, 9442.233, 557.7667
28, 9375.333, 9396.064, 9444.167, 555.8333
29, 9378.4, 9398.044, 9444.267, 555.7333
30, 9381.467, 9399.963, 9444.967, 555.0333
31, 9384.733, 9401.822, 9445.3, 554.7
32, 9387.167, 9403.413, 9445.3, 554.7
33, 9389.7, 9404.849, 9445.467, 554.5333
34, 9391.467, 9406.27, 9445.767, 554.2333
35, 9393.6, 9407.608, 9446.2, 553.8
36, 9395.066, 9408.857, 9446.6, 553.4
37, 9396.733, 9410.173, 9446.6, 553.4
38, 9398.566, 9411.342, 9446.6, 553.4
39, 9399.634, 9412.368, 9447.634, 552.3666
40, 9401.233, 9413.433, 9448.366, 551.6334
41, 9402.7, 9414.386, 9448.667, 551.3333
42, 9403.967, 9415.338, 9449.533, 550.4667
43, 9405.134, 9416.299, 9449.533, 550.4667
44, 9406.333, 9417.236, 9449.566, 550.4333
