Max, 9279, Obj, 721, Reliability, 13.33333%, HowOften, 4, When, 324
Generation, Min, Avg, Max, Obj
0, -14501.23, 8157.363, 8962.467, 1037.533
1, 8716.2, 8786.375, 8986.934, 1013.067
2, 8758, 8816.505, 9003.134, 996.8666
3, 8783.934, 8836.259, 9010.434, 989.5667
4, 8801.767, 8851.332, 9014.566, 985.4333
5, 8816.733, 8863.615, 9023, 977
6, 8828.733, 8874.129, 9034.733, 965.2667
7, 8839.333, 8883.432, 9041.866, 958.1334
8, 8849.233, 8892.09, 9044.9, 955.1
9, 8857.4, 8899.576, 9047.866, 952.1334
10, 8864.6, 8906.52, 9051.767, 948.2333
11, 8872.066, 8913.233, 9057.467, 942.5333
12, 8878.467, 8919.443, 9062, 938
13, 8884.967, 8925.529, 9064.7, 935.3
14, 8891.767, 8931.77, 9071.4, 928.6
15, 8897.134, 8937.122, 9077.667, 922.3333
16, 8902.333, 8942.006, 9078.267, 921.7333
17, 8907.8, 8947.517, 9086.866, 913.1334
18, 8913.134, 8952.604, 9089.267, 910.7333
19, 8918.033, 8957.233, 9093.5, 906.5
20, 8922.967, 8961.745, 9102.1, 897.9
21, 8927.767, 8966.052, 9106.9, 893.1
22, 8932.533, 8970.11, 9109.566, 890.4333
23, 8936.767, 8974.035, 9112.5, 887.5
24, 8941.167, 8978.377, 9114.2, 885.8
25, 8945.467, 8982.079, 9116.033, 883.9667
26, 8949.066, 8985.639, 9118.866, 881.1334
27, 8952.967, 8989.479, 9121.2, 878.8
28, 8956.7, 8993.199, 9122.434, 877.5667
29, 8960.3, 8996.808, 9124.634, 875.3666
30, 8964.033, 9000.323, 9126.434, 873.5667
31, 8967.767, 9003.642, 9127.1, 872.9
32, 8970.7, 9006.71, 9128.733, 871.2667
33, 8973.9, 9009.964, 9129.967, 870.0333
34, 8977.467, 9012.897, 9133.066, 866.9333
35, 8980.5, 9016.11, 9136.2, 863.8
36, 8983.9, 9019.019, 9143.3, 856.7
37, 8986.833, 9022.257, 9145, 855
38, 8990.3, 9025.204, 9145.066, 854.9333
39, 8993.8, 9028.348, 9153.667, 846.3333
40, 8997.3, 9031.298, 9155.233, 844.7667
41, 9000.033, 9034.091, 9157.934, 842.0667
42, 9003.2, 9036.698, 9160.7, 839.3
43, 9006.3, 9039.53, 9160.767, 839.2333
44, 9009.066, 9042.264, 9161.566, 838.4333
45, 9012.1, 9045.042, 9165.6, 834.4
46, 9014.767, 9047.611, 9166.267, 833.7333
47, 9017.7, 9050.226, 9166.267, 833.7333
48, 9020.3, 9052.395, 9167.667, 832.3333
49, 9022.7, 9054.604, 9167.667, 832.3333
50, 9025.267, 9056.754, 9167.7, 832.3
51, 9027.733, 9058.855, 9169.033, 830.9667
52, 9030.033, 9060.705, 9169.9, 830.1
53, 9032.1, 9062.726, 9170.533, 829.4667
54, 9034.1, 9064.578, 9171.667, 828.3333
55, 9036.2, 9066.598, 9173, 827
56, 9038.333, 9068.532, 9173.467, 826.5333
57, 9040.333, 9070.363, 9174.434, 825.5667
58, 9042.533, 9072.361, 9180.066, 819.9333
59, 9044.6, 9074.179, 9180.733, 819.2667
60, 9046.767, 9076.131, 9183, 817
61, 9048.8, 9078.125, 9184.467, 815.5333
62, 9050.934, 9079.793, 9184.7, 815.3
63, 9052.7, 9081.35, 9184.7, 815.3
64, 9054.5, 9082.929, 9184.767, 815.2333
65, 9056.3, 9084.692, 9185.4, 814.6
66, 9058.167, 9086.52, 9185.6, 814.4
67, 9060.1, 9088.269, 9187.533, 812.4667
68, 9061.833, 9089.858, 9188.233, 811.7667
69, 9063.533, 9091.692, 9188.634, 811.3666
70, 9065.366, 9093.402, 9188.8, 811.2
71, 9067.434, 9095.205, 9190.134, 809.8666
72, 9069.033, 9096.688, 9192, 808
73, 9070.6, 9098.323, 9192.733, 807.2667
74, 9072.233, 9099.777, 9193.5, 806.5
75, 9073.967, 9101.37, 9194.5, 805.5
76, 9075.533, 9102.832, 9195.667, 804.3333
77, 9077, 9104.158, 9195.667, 804.3333
78, 9078.533, 9105.67, 9197.167, 802.8333
79, 9080.134, 9107.173, 9197.967, 802.0333
80, 9081.5, 9108.493, 9200.1, 799.9
81, 9082.866, 9109.766, 9200.7, 799.3
82, 9084.134, 9111.126, 9201.434, 798.5667
83, 9085.533, 9112.495, 9201.767, 798.2333
84, 9087.134, 9113.932, 9202.566, 797.4333
85, 9088.533, 9115.299, 9205.7, 794.3
86, 9090, 9116.483, 9206.366, 793.6334
87, 9091.467, 9117.759, 9206.7, 793.3
88, 9092.967, 9119.114, 9208.066, 791.9333
89, 9094.333, 9120.466, 9208.066, 791.9333
90, 9095.667, 9121.786, 9210.233, 789.7667
91, 9096.9, 9123.004, 9211.467, 788.5333
92, 9098.233, 9124.177, 9211.667, 788.3333
93, 9099.434, 9125.253, 9211.8, 788.2
94, 9100.7, 9126.307, 9211.8, 788.2
95, 9101.866, 9127.347, 9211.967, 788.0333
96, 9103, 9128.479, 9211.967, 788.0333
97, 9104.467, 9129.797, 9213.733, 786.2667
98, 9105.533, 9131.034, 9213.934, 786.0667
99, 9106.767, 9132.062, 9214.434, 785.5667
100, 9107.934, 9133.226, 9215.6, 784.4
101, 9109.066, 9134.267, 9218.233, 781.7667
102, 9110.467, 9135.474, 9219.1, 780.9
103, 9111.634, 9136.679, 9219.634, 780.3666
104, 9112.667, 9137.76, 9219.967, 780.0333
105, 9113.967, 9138.866, 9219.967, 780.0333
106, 9115.2, 9139.861, 9219.967, 780.0333
107, 9116.066, 9140.749, 9221.366, 778.6334
108, 9117.267, 9141.799, 9223.033, 776.9667
109, 9118.366, 9142.684, 9223.033, 776.9667
110, 9119.366, 9143.696, 9223.2, 776.8
111, 9120.267, 9144.537, 9223.233, 776.7667
112, 9121.467, 9145.605, 9225.767, 774.2333
113, 9122.267, 9146.522, 9226, 774
114, 9123.2, 9147.359, 9226.434, 773.5667
115, 9124.1, 9148.257, 9226.467, 773.5333
116, 9125.066, 9149.356, 9226.6, 773.4
117, 9126.033, 9150.232, 9226.6, 773.4
118, 9127.2, 9151.045, 9226.6, 773.4
119, 9128.066, 9151.974, 9227, 773
120, 9129.066, 9152.931, 9227, 773
121, 9129.934, 9153.721, 9227.1, 772.9
122, 9130.967, 9154.689, 9227.434, 772.5667
123, 9132, 9155.714, 9227.967, 772.0333
124, 9132.934, 9156.594, 9228.233, 771.7667
125, 9133.967, 9157.392, 9229.3, 770.7
126, 9134.8, 9158.185, 9229.3, 770.7
127, 9135.7, 9159.134, 9230.2, 769.8
128, 9136.667, 9159.979, 9230.2, 769.8
129, 9137.467, 9160.626, 9230.2, 769.8
130, 9138.2, 9161.515, 9230.2, 769.8
131, 9139.1, 9162.433, 9230.366, 769.6334
132, 9139.934, 9163.16, 9230.366, 769.6334
133, 9140.767, 9164.038, 9230.833, 769.1667
134, 9141.566, 9164.692, 9231.033, 768.9667
135, 9142.3, 9165.443, 9231.5, 768.5
136, 9143.2, 9166.23, 9231.934, 768.0667
137, 9144.134, 9166.934, 9231.934, 768.0667
138, 9145, 9167.651, 9232.566, 767.4333
139, 9145.733, 9168.45, 9232.833, 767.1667
140, 9146.5, 9169.234, 9232.833, 767.1667
141, 9147.366, 9170.047, 9233.2, 766.8
142, 9148.333, 9170.766, 9233.333, 766.6667
143, 9149.033, 9171.681, 9234.8, 765.2
144, 9149.833, 9172.457, 9235.167, 764.8333
145, 9150.667, 9173.232, 9236.066, 763.9333
146, 9151.5, 9174.079, 9236.2, 763.8
147, 9152.066, 9174.714, 9236.2, 763.8
148, 9153.033, 9175.5, 9236.833, 763.1667
