Max, 9680, Obj, 320, Reliability, 33.33333%, HowOften, 1, When, 93, bestRun, 1
Generation, Min, Avg, Max, Obj
0, 0, 7624.494, 9583.667, 416.3333
1, 9522.333, 9543.294, 9595, 405
2, 9534, 9552.794, 9606.333, 393.6667
3, 9540.667, 9560, 9614.667, 385.3333
4, 9547.667, 9566.246, 9614.667, 385.3333
5, 9554, 9571.787, 9620.667, 379.3333
6, 9560, 9576.747, 9622.333, 377.6667
7, 9564, 9579.646, 9622.333, 377.6667
8, 9568, 9582.98, 9622.333, 377.6667
9, 9569.667, 9585.227, 9625.667, 374.3333
10, 9573.333, 9587.806, 9625.667, 374.3333
11, 9575.667, 9589.479, 9625.667, 374.3333
12, 9577.333, 9591.273, 9627, 373
13, 9579.333, 9592.74, 9627, 373
14, 9581.333, 9595.233, 9627, 373
15, 9583, 9596.54, 9627, 373
16, 9584.333, 9597.753, 9627, 373
17, 9586.333, 9599.413, 9627, 373
18, 9587, 9599.921, 9627, 373
19, 9588.333, 9601.567, 9629.333, 370.6667
20, 9589.667, 9602.413, 9629.333, 370.6667
21, 9590.333, 9602.866, 9629.333, 370.6667
22, 9591.333, 9603.566, 9629.333, 370.6667
23, 9593.333, 9605.32, 9634, 366
24, 9594.333, 9606.653, 9634, 366
25, 9595.667, 9607.34, 9637.667, 362.3333
26, 9596.333, 9607.646, 9637.667, 362.3333
27, 9597, 9608.894, 9638.333, 361.6667
28, 9598, 9609.207, 9638.333, 361.6667
29, 9599, 9610.293, 9643.333, 356.6667
30, 9599.333, 9610.733, 9643.333, 356.6667
31, 9600, 9611.594, 9643.333, 356.6667
32, 9601.333, 9612.468, 9643.333, 356.6667
33, 9601.667, 9612.899, 9643.333, 356.6667
34, 9602.667, 9613.966, 9643.333, 356.6667
35, 9603.333, 9614.532, 9643.333, 356.6667
36, 9604, 9615.133, 9645.333, 354.6667
37, 9604.667, 9616.199, 9654.333, 345.6667
38, 9605.333, 9617.5, 9654.333, 345.6667
39, 9606, 9617.692, 9654.333, 345.6667
40, 9606, 9618.133, 9654.333, 345.6667
41, 9606.333, 9618.547, 9654.333, 345.6667
42, 9607.667, 9619.034, 9654.333, 345.6667
43, 9608.667, 9619.601, 9654.333, 345.6667
44, 9609, 9619.96, 9656.333, 343.6667
45, 9609.667, 9620.46, 9656.333, 343.6667
46, 9610, 9621.146, 9657.333, 342.6667
47, 9610.333, 9621.354, 9657.333, 342.6667
48, 9610.667, 9621.573, 9657.333, 342.6667
49, 9610.667, 9621.773, 9657.333, 342.6667
50, 9611, 9622.253, 9657.333, 342.6667
51, 9611, 9622.546, 9657.333, 342.6667
52, 9611.333, 9622.934, 9658.333, 341.6667
53, 9611.667, 9623.12, 9658.333, 341.6667
54, 9612, 9623.693, 9658.333, 341.6667
55, 9612.333, 9624.126, 9658.333, 341.6667
56, 9613, 9624.367, 9658.333, 341.6667
57, 9613.667, 9624.841, 9658.333, 341.6667
58, 9614, 9625.366, 9658.333, 341.6667
59, 9614.333, 9625.753, 9658.333, 341.6667
60, 9614.667, 9626.227, 9658.333, 341.6667
61, 9614.667, 9626.308, 9658.333, 341.6667
62, 9616, 9627.06, 9661, 339
63, 9616.333, 9627.627, 9661, 339
64, 9617.667, 9628.547, 9661, 339
65, 9618, 9628.847, 9661, 339
66, 9618.667, 9629.007, 9661, 339
67, 9619, 9629.247, 9661, 339
68, 9619, 9629.301, 9661, 339
69, 9619, 9629.84, 9661, 339
70, 9619.667, 9630.394, 9662, 338
71, 9619.667, 9630.56, 9662, 338
72, 9620, 9631.013, 9662, 338
73, 9620, 9631.293, 9662, 338
74, 9620.667, 9631.446, 9662, 338
75, 9621.333, 9631.707, 9662, 338
76, 9621.667, 9632.147, 9662, 338
77, 9622, 9632.64, 9662, 338
78, 9622.667, 9633.073, 9662, 338
79, 9622.667, 9633.113, 9662, 338
80, 9622.667, 9633.113, 9662, 338
81, 9622.667, 9633.413, 9662, 338
82, 9623.333, 9633.58, 9662, 338
83, 9623.667, 9634.14, 9662, 338
84, 9623.667, 9634.173, 9662, 338
85, 9623.667, 9634.286, 9662, 338
86, 9624.333, 9634.579, 9662, 338
87, 9624.667, 9635.02, 9662, 338
88, 9624.667, 9636.047, 9663.667, 336.3333
89, 9624.667, 9636.073, 9663.667, 336.3333
90, 9625.333, 9636.2, 9663.667, 336.3333
91, 9625.667, 9636.36, 9663.667, 336.3333
92, 9626, 9636.979, 9663.667, 336.3333
93, 9626.333, 9637.727, 9669.333, 330.6667
94, 9626.667, 9638.227, 9669.333, 330.6667
95, 9627.333, 9638.646, 9669.333, 330.6667
96, 9627.333, 9639.173, 9669.333, 330.6667
97, 9627.667, 9639.88, 9671, 329
98, 9627.667, 9640.134, 9671, 329
99, 9628.333, 9640.467, 9671, 329
